福島高校,普通,68
安積高校,普通,67
安積黎明高校,普通,64
磐城高校,普通,64
会津高校,普通,63
橘高校,普通,63
白河高校,理数,62
郡山高校,普通,60
相馬高校,理数,60
福島南高校,文理,60
磐城桜が丘高校,普通,59
福島西高校,数理科学,59
福島東高校,普通,59
郡山高校,英語,58
郡山東高校,普通,58
福島西高校,普通,57
福島南高校,国際文化,57
いわき光洋高校,文理,56
白河高校,普通,56
須賀川桐陽高校,普通,56
平工業高校,情報技術,56
原町高校,普通,56
葵高校,普通,55
福島南高校,情報会計,55
福島西高校,デザイン科学,54
須賀川桐陽高校,数理科学,57
福島工業高校,情報電子,53
湯本高校,普通,53
福島商業高校,情報処理,52
会津学鳳高校,総合,50
郡山商業高校,国際経済,50
郡山商業高校,流通経済,50
郡山商業高校,会計,50
郡山商業高校,情報処理,50
福島商業高校,経営ビジネ,50
福島商業高校,会計ビジネ,50
湯本高校,英語,50 
安達高校,普通,48
あさか開成高校,国際科学,48
小高商業高校,情報ビジネ,48
清陵情報高校,情報処理,48
清陵情報高校,情報会計,48
清陵情報高校,情報電子,48
清陵情報高校,電子機械,48
平工業高校,電子,48
平商業高校,流通ビジネス,48
平商業高校,情報システム,48
平商業高校,オフィス会計,48
福島工業高校,建築,48
双葉高校,普通,48
若松商業高校,情報ビジネ,48
郡山北工業高校,建築,47
郡山北工業高校,情報,47
白河実業高校,情報ビジネ,47
白河旭高校,普通,47
須賀川高校,普通,47
須賀川高校,オフィス情報,47
平工業高校,電気,47
平工業高校,機械,47
福島工業高校,環境化学,47
福島工業高校,電気,47
福島工業高校,機械,47
若松商業高校,会計ビジネ,47
会津工業高校,建築,46
会津工業高校,セラミック,46
会津工業高校,機械,46
会津工業高校,電気,46
会津工業高校,情報技術,46
いわき総合高校,総合,46
相馬高校,普通,46
平工業高校,土木,46
保原高校,普通,46
小高商業高校,流通ビジネ,45
喜多方高校,普通,45
郡山北工業高校,電気,45
郡山北工業高校,電子,45
郡山北工業高校,機械,45
郡山北工業高校,化学工学,45
勿来工業高校,機械,45
勿来工業高校,電気,45
勿来工業高校,電子,45
勿来工業高校,建築,45
勿来工業高校,工業化学,45
喜多方桐桜高校,情報シス,44
光南高校,総合,44
修明高校,情報マネジメン,44
相馬東高校,総合,44
田村高校,普通,44
福島北高校,総合,44
双葉翔陽高校,総合,44
磐城農業高校,生活科学,43
小高工業高校,機械,43
小高工業高校,電気,43
小高工業高校,工業化学,43
小高工業高校,電子,43
大沼高校,普通,43
白河実業高校,機械,43
白河実業高校,電気,43
白河実業高校,電子,43
聖光学院高校,進学,43
保原高校,商業,43
坂下高校,普通,42
二本松工業高校,機械シス,42
二本松工業高校,情報シス,42
好間高校,普通,42
小野高校,総合,41
川俣高校,機械,41
喜多方東高校,普通,41
白河実業高校,農業,41
修明高校,経営ビジネス,41
浪江高校,普通,41
二本松工業高校,都市シス,41
四倉高校,普通,41
小名浜高校,普通,40
川俣高校,普通,40
喜多方桐桜高校,工業,40
田村高校,体育,40
勿来高校,普通,40
福島明成高校,生物生産,40
福島明成高校,生物工学,40
福島明成高校,環境土木,40
福島明成高校,食品科学,40
福島明成高校,生産情報,40
本宮高校,普通,40
本宮高校,情報会計,40 
磐城農業高校,食品流通,39
磐城農業高校,緑地土木,39
磐城農業高校,園芸,39
小名浜高校,商業,39
川口高校,普通,39
富岡高校,国際・スポーツ,39
会津農林高校,農業園芸,38
会津農林高校,森林環境,38
会津農林高校,食品加工,38
会津農林高校,生活経営,38
石川高校,普通,38
猪苗代高校,国際観光,38
修明高校,食品科学,38
新地高校,普通,38
西会津高校,普通,38
南会津高校,普通,38
安達東高校,総合,37
岩瀬農業高校,生物生産,37
岩瀬農業高校,園芸科学,37
岩瀬農業高校,生物工学,37
岩瀬農業高校,食品科学,37
岩瀬農業高校,生産情報,37
岩瀬農業高校,環境工学,37
猪苗代高校,普通,37
いわき海星高校,海洋,37
いわき海星高校,食品シス,37
いわき海星高校,情報通信,37
いわき海星高校,海洋工学,37
湖南高校,普通,37
修明高校,文理,37
相馬農業高校,環境緑地,37
相馬農業高校,食品科学,37
相馬農業高校,生産環境,37
只見高校,普通,37
遠野高校,普通,37
塙工業高校,機械,37
塙工業高校,電子,37
船引高校,普通,37
梁川高校,普通,37
安積高校御舘分校,普通,36
小野高校平田分校,普通,36
修明高校,生産流通,36
修明高校鮫川校,普通,36
相馬農業高校飯舘分校,普,36
田島高校,普通,36
長沼高校,普通,36
浪江高校津島分校,普通,36
耶麻農業高校,産業技術,34
耶麻農業高校,ライフ,34
