大分上野丘高校,普通,70
大分舞鶴高校,理数,67
大分舞鶴高校,普通,66
中津南高校,普通,63
大分西高校,総合,61
大分豊府高校,普通,61
別府鶴見丘高校,普通,57
大分雄城台高校,普通,56
佐伯鶴城高校,普通,55
日田高校,普通,55
大分鶴崎高校,普通,54
別府青山高校,普通,54
臼杵高校,普通,53
杵築高校,普通,53
大分商業高校,商業,51
大分商業高校,国際経済,51
大分商業高校,情報処理,51
国東高校,普通,51
宇佐高校,普通,50
竹田高校,普通,50
中津北高校,普通,50
情報科学高校,情報管理,49
情報科学高校,情報経営,49
大分南高校,普通,48
大分工業高校,機械,46
大分工業高校,電気,46
大分工業高校,電子,46
大分工業高校,建築,46
大分工業高校,土木,46
大分工業高校,工業化学,46
芸術緑丘高校,美術,46
三重総合高校,普通,46
大分南高校,福祉,45
芸術緑丘高校,音楽,45
佐伯豊南高校,総合,45
情報科学高校,情報電子,45
高田高校,普通,45
中津東高校,商業,45
中津東高校,工業,45
日田林工高校,機械,45
日田林工高校,電気,45
日田林工高校,建築,45
日田林工高校,土木,45
別府羽室台高校,外国語,45
別府羽室台高校,普通,45
別府商業高校,情報処理,45
三重総合高校,メディア科,45
森高校,普通,45
津久見高校,普通,44
鶴崎工業高校,機械,44
鶴崎工業高校,電気,44
鶴崎工業高校,建築,44
鶴崎工業高校,化学工業,44
鶴崎工業高校,産業デザイ,44
別府商業高校,会計,44
安心院高校,普通,43
佐伯豊南高校,福祉,43
津久見高校,生産機械,43
津久見高校,電気電子,43
日出総合高校,総合,43
佐伯豊南高校,工業技術,42
日田三隅高校,総合,42
津久見高校,会計システム,41
大分東高校,普通,40
国東高校,メカトロニクス,40
国東高校,情報システム,40
日田林工高校,林業,40
宇佐産業科学高校,電子機,39
国東高校双国校,総合ビジ,39
三重総合高校,生物環境,39
由布高校,普通,39
宇佐産業科学高校,ビジネ,38
大分東高校,園芸ビジネス,38
大分東高校,園芸デザイン,38
佐伯豊南高校,食農ビジネ,38
日出総合高校,機械電子,38
宇佐産業科学高校,農業,37
宇佐産業科学高校,生活,37
津久見高校海洋科学校,海,37
中津南高校耶馬渓校,普通,37
日出総合高校,農業経営,37
玖珠農業高校,地域産業,36
国東高校,園芸ビジネス,36
三重総合高校久住校,農業,36
